sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Oxygen Diss,Temp Water,pH,ln Turd,ln Cond,ln Coliform
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2023-08-26T12:10:00,10.5,19.3,8.44,2.00148,7.355001921,5.598421959
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2023-08-26T11:11:00,11.6,22.1,9,1.871802177,7.261225092,5.634789603
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2023-08-26T10:35:00,9.24,21.1,8.91,1.360976553,7.272398393,4.49980967
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2023-08-26T10:23:00,9.66,17.6,8.29,0.641853886,7.33171497,4.276666119
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-08-26T10:01:00,10,20.3,8.98,1.526056303,7.264030143,5.768320996
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2023-08-24T15:51:00,9.75,15.5,6.8,0,4.49980967,4.941642423
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-08-15T13:16:00,10.9,21.1,8.9,0.993251773,7.248504072,4.86753445
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2023-08-15T12:32:00,8.91,22.2,8.56,0.587786665,7.315883505,5.857933154
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2023-08-15T11:54:00,10.5,21.7,8.88,1.029619417,7.249215057,6.152732695
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2023-08-15T10:52:00,9.14,17.7,8.2,0,7.321188557,6.253828812
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2023-08-15T10:36:00,10.1,20.3,8.79,0.832909123,7.260522598,4.59511985
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2023-08-14T11:10:00,10,15.4,8.13,0.530628251,3.891820298,6.579251212
MD-54520250,RIVER DOVE  DOVEDALE,2023-08-14T10:18:00,10.5,12.5,8.09,0,6.22059017,6.173786104
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2023-08-14T09:57:00,10,12.3,7.79,0,4.574710979,3.80666249
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-08-14T09:48:00,9.62,15.1,7.95,0.336472237,4.454347296,4.276666119
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2023-08-14T09:32:00,9.43,16.1,7.97,0.587786665,4.430816799,3.988984047
NW-88004397,RIVER KENT AT SEDGEWICK,2023-08-14T09:00:00,10.3,14.4,7.89,0.336472237,4.976733742,6.086774727
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-08-10T12:57:00,9.18,17.1,7.95,1.589235205,6.656726524,6.234410726
NW-88004538,WINDERMERE AT MILLER GROUND (45650),2023-08-10T12:20:00,10,20.6,7.79,2.48490665,5.641907071,2.890371758
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-08-10T11:42:00,10.2,15.3,8.29,2.302585093,6.782192056,6.8134446
SW-81520166,RIVER FOWEY AT RESTORMEL,2023-08-09T10:38:00,9.99,15.3,7.17,0.182321557,4.644390899,5.298317367
NW-88004563,LEVEN AT LOW WOOD BRIDGE HAVERTHWAITE,2023-08-08T10:05:00,9.87,16.8,7.81,0.470003629,4.262679877,3.80666249
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-08-08T09:41:00,8.22,16.3,7.92,1.029619417,6.152732695,6.363028104
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2023-08-07T12:12:00,12,19.8,8.92,1.280933845,7.238496841,5.966146739
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2023-08-07T11:30:00,9.7,19,8.47,0.09531018,7.321849714,5.598421959
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2023-08-07T10:57:00,12.2,19.5,8.89,1.435084525,7.238496841,4.787491743
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-08-07T10:31:00,11,18.9,8.91,1.30833282,7.239214974,5.010635294
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-08-04T10:33:00,9.8,15.9,8.14,1.193922468,6.224558429,7.003065459
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-08-04T09:37:00,9.32,15.6,8.06,0.587786665,6.320768294,6.646390515
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2023-08-03T11:14:00,9.63,14.4,6.22,0.587786665,4.094344562,6.131226489
SW-82014856,PORTHLEVEN SANDS (29800),2023-08-03T11:00:00,10.3,16.1,7.71,0.336472237,4.317488114,2.302585093
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2023-08-03T10:59:00,9.63,17.1,7.53,0.955511445,4.382026635,3.80666249
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2023-08-03T10:28:00,9.96,15,7.44,0.916290732,4.477336814,5.438079309
SW-E8901210,WESTON MAIN (35800),2023-08-03T10:05:00,8.77,16.9,7.94,0.09531018,6.470799504,4.158883083
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2023-08-02T13:48:00,9.84,15.1,8.2,1.824549292,6.272877007,11.51292546
SW-70811912,COLLATON STREAM  AT SALCOMBE NORTH SANDS,2023-08-02T13:05:00,9.04,14.4,7.85,1.722766598,6.522092798,6.907755279
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2023-08-02T11:42:00,10.3,20,8.85,1.481604541,7.241366283,6.606650186
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-08-02T11:22:00,11.5,20,8.92,1.30833282,7.233455419,6.507277712
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2023-08-02T11:04:00,8.96,16.6,8.3,0,7.312553498,7.937374696
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2023-08-02T10:52:00,10.2,19.6,8.83,1.193922468,7.239214974,4.49980967
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2023-08-02T10:07:00,11.3,20,8.82,2.708050201,7.26612878,5.634789603
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-08-01T11:35:00,9.92,14.3,7.2,2.708050201,4.727387819,9.169518377
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2023-07-25T11:38:00,10.1,17.6,8.47,0.641853886,7.344072851,5.634789603
NW-88004590,RIVER CRAKE AT WATER YEAT,2023-07-25T11:10:00,9.77,17,8.15,0,3.526360525,4.394449155
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2023-07-25T11:06:00,9.68,20.1,8.77,1.609437912,7.236339343,7.170119543
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2023-07-25T11:03:00,11.2,19.6,8.77,1.064710737,7.250635512,4.49980967
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-07-25T10:48:00,10.4,19.6,8.81,0.916290732,7.23489842,6.040254711
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2023-07-18T13:45:00,10,14.6,6.65,0,3.688879454,5.913503006
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2023-07-18T12:00:00,9.93,12.4,6.73,0,4.382026635,6.194405391
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-07-18T11:25:00,9.91,13.4,7.32,0,4.382026635,5.886104031
SW-81418801,INVESTIGATION IN CATCHMENT 14A,2023-07-18T11:05:00,9.57,16.4,7.46,0.182321557,4.442651256,5.298317367
NW-88004397,RIVER KENT AT SEDGEWICK,2023-07-18T10:24:00,10.3,14.3,7.78,0.470003629,4.919980926,6.779921907
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-07-17T11:41:00,8.45,20.5,8.54,0.993251773,7.230563153,5.247024072
MD-57403450,RIVER MANIFOLD - ILAM,2023-07-17T10:26:00,8.68,12.2,7.56,2.833213344,5.707110265,8.794824928
MD-57464620,RIVER HAMPS - WINKHILL,2023-07-14T09:24:00,9.59,13.9,8.11,1.648658626,6.214608098,6.697034248
SW-81520166,RIVER FOWEY AT RESTORMEL,2023-07-13T10:38:00,10.1,15.8,7.28,0.262364264,4.624972813,6.756932389
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-07-12T12:06:00,10.4,16.9,8.27,0.741937345,6.320768294,6.309918278
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-07-12T11:00:00,8.07,21.4,8.64,0.470003629,7.252053952,5.703782475
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-07-12T10:40:00,9.98,16.8,8.02,0.182321557,6.313548046,5.298317367
SW-70314532,SIDMOUTH (JACOBS LADDER) BEACH (21900),2023-07-12T10:08:00,8.11,17.2,7.91,0.916290732,6.693323668,2.302585093
SW-82215425,GODREVY TOWANS (31450),2023-07-11T12:50:00,9.84,16.6,8.6,0.470003629,6.345636361,2.890371758
SW-70811912,COLLATON STREAM  AT SALCOMBE NORTH SANDS,2023-07-11T12:05:00,9.6,14.5,8.22,0.875468737,6.396929655,6.380122537
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-07-11T09:46:00,7.92,16.9,7.8,2.564949357,5.966146739,10.40426284
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2023-07-06T15:29:00,9.62,16.6,6.6,0.262364264,4.304065093,2.302585093
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2023-07-05T14:28:00,10.4,13.6,6.87,0,4.48863637,6.131226489
SW-81950522,CARNON RIVER AT DEVORAN BRIDGE,2023-07-05T14:22:00,9.14,15,6.1,1.335001067,6.378426184,6.01615716
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2023-07-05T14:05:00,9.67,16.8,6.68,1.098612289,4.406719247,3.988984047
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2023-07-05T10:11:00,10,12.7,6.9,0,4.304065093,7.313220387
SW-70920104,RIVER ERME AT SEQUERS BRIDGE,2023-07-04T17:01:00,9.77,15,8.34,0.182321557,5.327876169,6.063785209
NW-88004563,LEVEN AT LOW WOOD BRIDGE HAVERTHWAITE,2023-07-04T16:54:00,9.74,17.1,8.13,0.405465108,5.010635294,4.49980967
SW-81930120,RIVER FAL AT TREGONY GAUGING STATION,2023-07-04T14:32:00,9.88,14.3,7.48,1.458615023,5.521460918,7.696212639
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-07-04T10:30:00,7.66,19.1,8.68,0.78845736,7.22329568,4.510859507
SW-82311601,ST AGNES STREAM AT TREVAUNANCE COVE,2023-07-03T14:37:00,8.81,16.1,7.6,1.504077397,5.204006687,7.649692624
MD-54520250,RIVER DOVE  DOVEDALE,2023-07-03T10:11:00,11.4,11.1,8.16,0.182321557,6.29710932,4.394449155
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-07-03T09:53:00,9.83,14.6,8.36,1.435084525,5.659482216,4.941642423
NW-88000056,MISC SEWAGE DISCHARGES RIBBLE/DOUGLAS,2023-06-30T12:17:00,8.12,17.3,8.08,2.63905733,10.75231282,4.700480366
SO-E0004740,HOOKERS PIT,2023-06-30T11:05:00,8.01,17,8.01,3.663561646,6.212606096,6.745236349
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-06-26T11:02:00,10.6,23.3,8.92,0.78845736,7.209340257,5.298317367
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-06-20T11:22:00,10.3,22.9,8.91,0.09531018,7.207859871,7.244227516
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-06-14T10:48:00,11.7,22.5,8.86,0.262364264,7.195937226,5.298317367
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-06-08T11:26:00,11.2,19,8.69,0.336472237,7.180069874,3.295836866
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2023-06-05T13:13:00,10.8,14.6,8.35,0.955511445,6.327936784,5.247024072
SW-70811912,COLLATON STREAM  AT SALCOMBE NORTH SANDS,2023-06-05T13:08:00,10.4,13.2,8.35,0.641853886,6.396929655,5.010635294
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-06-02T09:49:00,9.14,16.5,8.55,0.262364264,7.159291905,4.86753445
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-06-01T14:13:00,9.43,17.8,7.93,0.875468737,5.783825182,4.59511985
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-05-27T11:40:00,9.18,17.9,8.51,0.182321557,7.152268856,3.583518938
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-05-17T11:41:00,8.23,18.1,8.3,0.641853886,7.124478262,4.007333185
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-05-09T12:50:00,9.44,17.4,8.42,0.832909123,7.109062136,4.510859507
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-05-04T14:25:00,12.1,13.1,8.76,0.693147181,5.631211782,4.86753445
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2023-03-22T10:48:00,9.94,10.4,8.02,0.875468737,6.532334292,5.828945618
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-03-17T14:31:00,11,12.1,8.06,1.16315081,6.298949247,4.49980967
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-03-13T12:39:00,10.7,10.5,7.97,2.128231706,6.778784898,6.152732695
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-03-10T14:55:00,11.6,7.4,7.89,3.218875825,5.857933154,8.188689124
NW-88004590,RIVER CRAKE AT WATER YEAT,2023-03-09T11:41:00,12.7,5.4,7.7,0,4.077537444,2.302585093
MD-57403450,RIVER MANIFOLD - ILAM,2023-03-08T10:59:00,11.4,6.9,7.5,0,6.224558429,3.988984047
MD-57464620,RIVER HAMPS - WINKHILL,2023-03-08T10:41:00,14.4,1.3,8.18,1.252762968,6.025865974,2.890371758
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2023-03-07T11:55:00,13.5,6.5,6.59,0,4.406719247,3.988984047
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2023-03-07T10:45:00,12.3,6.8,7.43,0,4.644390899,2.302585093
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-03-07T10:30:00,12.7,5.4,7.45,0,4.564348191,2.302585093
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2023-03-07T10:05:00,13.2,4.5,7.61,0,4.477336814,2.890371758
NW-88004590,RIVER CRAKE AT WATER YEAT,2023-02-27T10:30:00,12.1,6.2,8.21,0,4.060443011,2.302585093
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-02-27T10:17:00,12.2,6.3,8.25,1.410986974,5.429345629,6.522092798
MD-57403450,RIVER MANIFOLD - ILAM,2023-02-17T13:14:00,10.7,8.6,7.45,0,6.206575927,3.295836866
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-02-10T14:02:00,12.7,5,8.31,0.641853886,6.866933284,5.347107531
SW-50450129,RIVER PIDDLE AT WEST MILLS,2022-11-04T12:28:00,9.76,11.6,7.65,2.564949357,6.133398043,7.313220387
SW-72934611,RIVER WALDON AT HENSCOTT BRIDGE,2022-10-27T10:13:00,9.57,13.6,7.53,0,5.438079309,5.966146739
MD-57403450,RIVER MANIFOLD - ILAM,2022-10-21T14:19:00,9.29,10.4,7.54,0.832909123,6.091309882,5.393627546
MD-57464620,RIVER HAMPS - WINKHILL,2022-10-21T13:52:00,10.2,11.5,8.04,2.197224577,5.983936281,7.863266724
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2022-10-19T12:11:00,9.65,11.6,7.75,1.410986974,6.674561392,5.560681631
NW-88004397,RIVER KENT AT SEDGEWICK,2022-10-18T13:45:00,11.2,10.7,7.83,0.182321557,5.164785974,7.090076836
SW-50450129,RIVER PIDDLE AT WEST MILLS,2022-10-18T13:10:00,9.69,13,7.68,0.530628251,6.255750042,4.394449155
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2022-10-18T11:45:00,10.8,10.7,6.9,0,3.850147602,5.010635294
TH-PGWL0228,WOLVERCOTE STREAM,2022-10-18T10:30:00,10.4,10.6,6.9,0,4.510859507,5.560681631
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2022-10-18T10:15:00,11.1,10,7.31,0,4.418840608,4.700480366
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2022-10-18T10:00:00,11.1,10.1,7.42,0.336472237,4.356708827,2.302585093
NW-88004590,RIVER CRAKE AT WATER YEAT,2022-10-17T13:10:00,9.95,12.4,7.04,0,4.060443011,4.276666119
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2022-10-11T13:55:00,10.6,10.1,8.23,1.902107526,5.525452939,6.887552572
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2022-10-05T13:25:00,10,13.9,7.42,2.397895273,4.543294782,5.669880923
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2022-10-05T12:55:00,9.6,13.9,6.95,0.78845736,4.418840608,7.60090246
SW-70220104,RIVER AXE AT AXE BRIDGE,2022-10-04T09:49:00,8.49,14.2,7.95,0.530628251,6.194405391,8.496990484
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2022-10-03T15:47:00,10.7,12.5,6.48,0,4.276666119,5.480638923
NW-88004397,RIVER KENT AT SEDGEWICK,2022-09-29T13:45:00,10.8,12.1,8.11,0,5.176149733,5.634789603
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2022-09-29T11:45:00,10.6,11.5,7.13,0.09531018,3.761200116,5.347107531
MD-57403450,RIVER MANIFOLD - ILAM,2022-09-29T11:33:00,9.64,10.7,8,0.262364264,6.259581464,6.522092798
MD-57464620,RIVER HAMPS - WINKHILL,2022-09-29T10:36:00,10.7,9.8,8.53,2.63905733,6.177944114,8.006367568
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2022-09-29T10:05:00,10.8,11.2,7.4,0,4.762173935,2.302585093
SW-91241149,RIVER INNY U/S A30,2022-09-29T09:45:00,10.5,11.3,7.41,0.09531018,4.574710979,6.476972363
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2022-09-29T09:25:00,10.2,12,7.64,0.741937345,4.605170186,3.583518938
NW-88004590,RIVER CRAKE AT WATER YEAT,2022-09-28T12:55:00,9.87,15,7.36,0,4.060443011,3.80666249
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2022-09-26T10:52:00,7.15,11.1,7.6,0.182321557,6.418364936,7.090076836
TH-PRTS0039,ST ANNS LAKE,2022-09-23T13:18:00,8.98,18.6,7.87,1.648658626,6.413458957,7.313220387
TH-PRTS0043,FLEET LAKE,2022-09-23T11:33:00,8.08,18.2,7.78,1.30833282,6.461468176,2.302585093
TH-PRTS0041,MANOR LAKE,2022-09-23T11:18:00,8.46,18,7.88,0.916290732,6.461468176,4.143134726
TH-PRTS0038,"MEAD LAKE DITCH, U/S INTERSECTION",2022-09-23T10:40:00,7.73,15.5,7.79,0.693147181,6.476972363,5.010635294
TH-PRTS0048,ABBEY LAKE,2022-09-23T10:27:00,8.97,17.9,7.87,2.48490665,6.445719819,9.852194258
TH-PRTS0040,LAKE SOUTH OF GREEN LN,2022-09-23T10:09:00,6.24,16.6,7.6,0.832909123,6.461468176,3.295836866
TH-PTTB0012,BATHING WATER EEC - 3 SHELLS (11850),2022-09-22T11:02:00,9.51,16.5,8.02,0.916290732,6.646390515,2.302585093
TH-PRTS0057,THAMES U/S OF SPELTHORNE CHANNEL INTAKE,2022-09-20T12:56:00,9.48,17.2,8,0.832909123,6.593044534,5.135798437
TH-PRTS0059,LITTLETON NORTH,2022-09-20T12:45:00,8.52,18.9,8.52,2.397895273,6.380122537,3.295836866
TH-PRTS0060,LITTLETON EAST,2022-09-20T12:02:00,9.31,18,8.13,0.336472237,6.327936784,3.295836866
TH-PRTS0064,FERRY LANE BRPS,2022-09-20T11:25:00,8.12,17.9,7.89,1.280933845,6.086774727,4.276666119
TH-PRTS0021,SILVERWINGS,2022-09-20T09:38:00,6.85,16.5,7.84,2.890371758,6.086774727,6.272877007
SW-50450129,RIVER PIDDLE AT WEST MILLS,2022-09-14T12:08:00,8.71,15.3,7.72,0.832909123,6.274762021,5.940171253
SW-91241149,RIVER INNY U/S A30,2022-09-09T09:49:00,9.96,14.8,8,2.104134154,6.745236349,8.070906089
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2022-09-07T15:18:00,9.52,16.6,7.55,0.587786665,4.59511985,5.393627546
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2022-09-07T12:40:00,9.78,14.9,6.75,0.470003629,4.382026635,5.393627546
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2022-09-07T12:20:00,9.57,15.4,7.2,0.587786665,4.477336814,6.234410726
SW-70614728,BABBACOMBE BEACH (23400),2022-09-06T14:05:00,9.39,18.1,8.22,1.223775432,5.726847748,3.80666249
SW-73110519,HAG BROOK BY MOLES FARM HOUSE,2022-09-05T10:54:00,8.18,17.3,7.7,1.686398954,6.704414355,8.006367568
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2022-09-02T11:38:00,7.81,20.6,9.25,2.564949357,7.264730178,6.779921907
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2022-09-02T11:18:00,9.18,17.3,8.3,0.530628251,7.330405212,8.160518247
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2022-09-02T10:54:00,8.41,20.1,9.2,2.564949357,7.262628601,4.787491743
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2022-09-02T10:26:00,8.45,19.7,9.2,2.48490665,7.25629724,6.507277712
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2022-09-02T09:56:00,8.43,18.6,9.08,2.995732274,7.266827348,3.80666249
NE-49700249,WHARFE AT GRASSINGTON B6265 BRIDGE,2022-09-01T12:21:00,12.5,14.9,8.43,0,5.880532986,5.438079309
SW-70220104,RIVER AXE AT AXE BRIDGE,2022-09-01T10:43:00,10.6,17.7,8.4,0,6.214608098,5.075173815
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2022-08-31T12:15:00,8.99,15.6,8,0.587786665,6.459904454,4.941642423
TH-PRTS0038,"MEAD LAKE DITCH, U/S INTERSECTION",2022-08-30T12:46:00,3.25,16.1,7.41,2.116255515,6.476972363,7.244227516
TH-PRTS0043,FLEET LAKE,2022-08-30T12:24:00,6.77,21.9,7.73,1.410986974,6.461468176,2.302585093
TH-PRTS0040,LAKE SOUTH OF GREEN LN,2022-08-30T12:15:00,8.41,19.9,7.88,1.131402111,6.445719819,3.295836866
TH-PRTS0041,MANOR LAKE,2022-08-30T12:05:00,6.93,21.6,7.83,1.360976553,6.445719819,2.302585093
TH-PRTS0048,ABBEY LAKE,2022-08-30T11:21:00,6.82,21.6,7.8,1.547562509,6.429719478,2.890371758
TH-PRTS0039,ST ANNS LAKE,2022-08-30T10:35:00,7.6,21.4,8.15,2.708050201,6.380122537,2.302585093
TH-PRTS0046,THAMES U/S OF RUNNYMEDE CHANNEL INTAKE,2022-08-25T11:47:00,8.07,21.1,8,1.568615918,6.65929392,7.824046011
TH-PRTS0064,FERRY LANE BRPS,2022-08-24T12:41:00,7.23,23.3,8.03,0.182321557,6.086774727,2.302585093
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2022-08-24T11:54:00,8.92,20.3,8.41,1.458615023,7.33628566,6.733401892
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2022-08-24T11:32:00,4.88,23.2,9.23,2.48490665,7.276556403,5.247024072
TH-PRTS0059,LITTLETON NORTH,2022-08-24T11:31:00,6.25,23.1,8.21,1.609437912,6.429719478,2.302585093
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2022-08-24T11:04:00,7.86,22.7,9.11,2.48490665,7.273786318,9.210340372
TH-PRTS0060,LITTLETON EAST,2022-08-24T10:54:00,9.16,22.5,8.18,0.405465108,6.309918278,3.80666249
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2022-08-24T10:35:00,7.81,22.4,9.07,2.397895273,7.270312886,6.445719819
TH-PRTS0021,SILVERWINGS,2022-08-24T10:11:00,7.8,22.4,9.34,2.079441542,6.040254711,2.890371758
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2022-08-24T10:03:00,8.09,22.1,9.12,2.995732274,7.270312886,7.170119543
TH-PRTS0057,THAMES U/S OF SPELTHORNE CHANNEL INTAKE,2022-08-24T09:43:00,8.74,21.2,8.09,0.587786665,6.672032945,4.276666119
NE-49700249,WHARFE AT GRASSINGTON B6265 BRIDGE,2022-08-19T12:51:00,12.7,15.6,8.51,0,5.828945618,6.152732695
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2022-08-19T11:28:00,4.11,22.7,9.06,2.251291799,7.26612878,7.972466016
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2022-08-19T10:53:00,5.33,23.1,9.08,2.48490665,7.262628601,7.649692624
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2022-08-19T10:28:00,4.48,23,9.03,1.871802177,7.258412151,3.988984047
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2022-08-19T09:57:00,4.19,22.3,8.63,2.302585093,7.265429723,4.143134726
SW-50450129,RIVER PIDDLE AT WEST MILLS,2022-08-18T11:36:00,9.29,17.1,7.84,0.587786665,6.263398263,5.075173815
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2022-08-16T14:55:00,9.89,16.1,7.51,0.09531018,4.59511985,5.347107531
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2022-08-16T14:22:00,8.65,18.6,7.4,0.955511445,4.382026635,6.56526497
SW-70220104,RIVER AXE AT AXE BRIDGE,2022-08-16T09:25:00,6.15,20.1,7.79,0.182321557,6.272877007,8.131530711
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2022-08-15T13:14:00,9.63,19.4,8.09,1.064710737,5.730099783,5.736572297
NE-49705000,WHARFE AT CROMWHEEL - ILKLEY (08901),2022-08-11T14:12:00,7.98,19,8,1.609437912,6.717804695,6.253828812
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2022-08-09T14:01:00,14.5,26.4,9.18,2.2300144,7.293697721,6.173786104
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2022-08-09T13:36:00,14.4,24.5,9.19,2.63905733,7.284134806,5.438079309
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2022-08-09T13:16:00,8.61,20.6,8.18,1.386294361,7.396948603,4.276666119
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2022-08-09T12:49:00,13.8,24.8,9.17,0,7.275864601,5.560681631
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2022-08-09T12:20:00,12.5,24.2,9.15,2.163323026,7.273092596,6.253828812
SW-73015012,SAUNTON SANDS (34100),2022-08-08T11:10:00,9.68,14.2,7.98,1.774952351,6.091309882,2.302585093
MD-57403450,RIVER MANIFOLD - ILAM,2022-08-08T10:42:00,9.98,11.8,7.52,0.470003629,6.29156914,5.669880923
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2022-08-05T11:00:00,9.54,16.4,6.92,0.530628251,3.688879454,6.380122537
SW-81410101,MILLENDREATH STM B AT END OF PIER,2022-08-04T14:55:00,9.98,16,7.96,0.405465108,5.043425117,8.101677747
