sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Cond @ 25C,Oxygen Diss,Temp Water,pH,Turbidity,E.coli C-MF,Available
SW-70814659,SLAPTON SANDS (MONUMENT) (24900),2008-09-22T12:00:00,1020,,15.3,7.29,1,448,5
SW-70814974,BIGBURY-ON-SEA (NORTH) BEACH (25900),2011-06-06T12:00:00,,5.15,15.9,7.26,1,224,5
SO-G0017029,SOUTHSEA EAST EC SITE (16600),2008-09-01T12:14:00,1761,,17.64,7.26,1,224,5
SW-50044442,CASTLE COVE (20800),2010-07-12T11:05:00,,5.35,20.36,7.25,1,550,5
SO-F0002786,HOVE FIRST AVENUE BATHING (15000),2006-09-04T14:00:00,,8.52,19,7.23,1,550,5
SW-81210110,CAWSAND BAY (26530),2010-07-15T10:10:00,700,,15.7,7.22,1,495,5
SW-50024545,CANFORD CLIFFS CHINE (19190),2007-07-24T12:25:00,,10.1,15,7.2,1,495,5
SO-E0000031,WALPOLE BAY (12630),2007-07-24T10:25:00,,7.4,14.7,7.2,1,495,5
SW-82515179,MOTHER IVEYS BAY (32800),2008-09-18T10:45:00,468,,16.11,7.2,1,440,5
SW-70614872,PAIGNTON (PRESTON SANDS) (24000),2008-08-22T12:25:00,421,,17.4,7.2,1,440,5
SO-G0006417,MILFORD ON SEA (17100),2011-06-06T11:30:00,,3.83,14.88,7.19,1,273,5
TH-PGWB0002,BATHING WTR-HAMPSTEAD MENS POND (11920),2010-07-30T11:30:00,836,,13.05,7.18,1,540,5
SO-E0001517,GREATSTONE PUMPING STN,2010-08-19T10:05:00,2485,,15.63,7.13,1,540,5
SW-82515145,CONSTANTINE BAY BEACH (32700),2008-09-18T11:05:00,629,,16.23,7.1,1,486,5
NE-49000275,WHITBY (07100),2010-07-30T11:10:00,1332,,14.52,7.07,1,270,5
SW-70816005,BANTHAM BEACH (25700),2010-07-12T11:10:00,,4.1,16,6.8,1,484,5
SO-G0003516,STOKES BAY (16700),2010-07-12T12:25:00,,9.58,20.8,6.74,1,430,5
SO-G0003461,BEACHLANDS WEST (16400),2011-07-11T10:49:00,,9,18.28,6.69,1,430,5
SO-F0002426,DUMP-SUSSEX SCI & MAR,2008-09-08T14:10:00,93,,12.38,6.68,1,430,5
SW-70814980,CHALLABOROUGH BEACH (26000),2010-07-12T10:25:00,,5.58,16,6.44,1,377,5
TH-PKER9999,KENNET CATCHMENT RIVER N.C.R.S,2003-06-20T15:00:00,,2.4,21.68,7.47,1,520,5
NW-88003594,RIBBLE ESTUARY AT 10TH MILE POST,2009-04-16T14:23:00,,11.4,10.546,8.9,1,865,5
AN-CE09,R.CROUCH NORTH FAMBRIDGE,2005-06-21T13:44:00,,7.73,20.97,8.33,1,865,5
AN-CE09,R.CROUCH NORTH FAMBRIDGE,2005-04-11T13:12:00,,10.7,9.7,8.27,1,865,5
AN-BE0630,SALCOTT CHANNEL OFF SUNKEN ISLE,2010-03-16T13:30:00,,11.6,5.406,8.26,1,865,5
AN-BE0630,SALCOTT CHANNEL OFF SUNKEN ISLE,2005-07-25T12:54:00,,8.38,18.62,8.26,1,865,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2008-05-07T12:18:00,47400,,15.31,8.26,1,865,5
AN-RE08,R.ROACH EAST END PAGLESHAM,2008-04-03T12:02:00,,10.1,8.06,8.24,1,865,5
AN-BE0770,TOLLESBURY N CHANNEL OFF GT.COB ISLE,2005-07-25T13:12:00,,8.41,18.75,8.23,1,865,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2004-11-25T13:14:00,,9.42,8.07,8.2,1,865,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2010-03-16T09:46:00,,10.8,5.496,8.19,1,865,5
SO-Y0017475,NEWTOWN BANK-SHELLFISH WATER,2009-02-04T11:39:00,,10.2,4.87,8.18,1,865,5
SO-G0003696,LYMINGTON-SHELLFISH WATER,2012-01-17T16:17:00,,9.28,7.75,8.17,1,865,5
SO-Y0017475,NEWTOWN BANK-SHELLFISH WATER,2012-01-17T13:42:00,,8.97,7.93,8.17,1,865,5
AN-BE15,GOLDHANGER CREEK,2011-01-19T13:13:00,,10,5.38,8.15,1,865,5
AN-BE600213,STROOD CHANNEL OPPOSITE SLIP,2004-05-12T12:21:00,,8.94,12.08,8.1,1,865,5
SO-G0003715,CENTRAL SOLENT-SHELLFISH WATER,2011-01-26T15:09:00,,9.86,6.27,8.1,1,865,5
SO-Y0004367,COWES-SHELLFISH WATER,2008-05-07T15:41:00,,9.3,12.5,8.1,1,865,5
SO-E0001436,MARGATE-SHELLFISH WATER,2010-08-31T15:49:00,,7.5,17.071,8.09,1,865,5
SO-Y0004367,COWES-SHELLFISH WATER,2009-12-02T10:44:00,,8.68,10.403,8.08,1,865,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2008-01-28T11:57:00,43900,,6.41,8.07,1,865,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2007-08-09T11:21:00,,8.49,19.65,8.07,1,865,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2007-10-15T14:09:00,,7.88,14.1,8.05,1,865,5
AN-BE11,R.BLACKWATER SOUTH EAST OF TOLLESBURY,2008-10-15T12:55:00,,8.18,13.38,8.03,1,865,5
TH-PTTR0026,THAMES AT NO.2 SEA REACH ( 77.6KMS BELOW,2007-11-16T12:30:00,,9.49,8.26,8.02,1,865,5
AN-BE0630,SALCOTT CHANNEL OFF SUNKEN ISLE,2009-01-27T12:33:00,,10.2,3.95,7.97,1,865,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2009-06-04T13:26:00,47886,,17.95,7.97,1,865,5
AN-RE08,R.ROACH EAST END PAGLESHAM,2009-12-08T11:49:00,,8.51,7.247,7.94,1,865,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2009-04-15T14:28:00,,8.32,12.72,7.92,1,865,5
AN-CE09,R.CROUCH NORTH FAMBRIDGE,2006-09-12T14:20:00,,5.23,19.3,7.9,1,865,5
AN-RE600184,MAPLIN SAND 2 MILE W BLACKTAIL SPIT BUOY,2007-11-16T11:16:00,,9.5,8.53,7.83,1,865,5
AN-CE09,R.CROUCH NORTH FAMBRIDGE,2009-07-01T12:57:00,,5.69,22.78,7.64,1,865,5
AN-BE11,R.BLACKWATER SOUTH EAST OF TOLLESBURY,2005-07-25T11:23:00,,8.56,19.36,8.26,1,864,5
SO-Y0004367,COWES-SHELLFISH WATER,2010-02-17T09:11:00,,9.7,4.655,8.14,1,864,5
SW-82518086,CAMEL SHELLFISH WATER,2003-08-20T12:00:00,,7.31,19.3,8.91,1,864,5
AN-BE11,R.BLACKWATER SOUTH EAST OF TOLLESBURY,2004-11-25T11:54:00,,9.34,8.03,8.22,1,864,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2004-11-03T15:30:00,,10.6,11.79,8.2,1,860,5
SO-Y0004367,COWES-SHELLFISH WATER,2008-02-06T15:13:00,,9.05,7.925,8.18,1,860,5
AN-BE600213,STROOD CHANNEL OPPOSITE SLIP,2010-05-06T15:27:00,,9.65,12.71,8.17,1,860,5
SO-Y0017476,NEWTOWN HARBOUR-SFW,2010-02-16T13:52:00,,9.7,4.938,8.15,1,860,5
AN-BE15,GOLDHANGER CREEK,2006-01-30T12:44:00,,10.5,3.08,8.107,1,860,5
AN-BE0630,SALCOTT CHANNEL OFF SUNKEN ISLE,2006-01-30T12:09:00,,10.3,3.27,8.103,1,860,5
AN-BE0770,TOLLESBURY N CHANNEL OFF GT.COB ISLE,2006-01-30T12:20:00,,10.3,3.26,8.102,1,860,5
SO-Y0017475,NEWTOWN BANK-SHELLFISH WATER,2008-05-07T14:48:00,,9.28,12.36,8.1,1,860,5
SO-E0017473,SHEPPEY-SHELLFISH WATER,2007-06-15T07:35:00,,7.43,17.76,8.1,1,860,5
SW-70814905,THURLESTONE (SOUTH) BEACH (25500),2003-07-28T11:30:00,,7.1,17,8.1,1,860,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2008-08-21T13:02:00,49818,,18,8.09,1,860,5
SW-81920177,RIVER FAL AT TOLVERNE,2003-05-09T11:35:00,,8.62,12.4,8.09,1,860,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2008-06-25T13:22:00,,7.41,18.26,8.089,1,860,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2008-10-15T13:11:00,51102,,13.33,8.082,1,860,5
NW-88019978,NORTH WIRRAL EAST SHELLFISH @ SJ290 945,2009-11-06T13:02:00,,8.36,11.412,8.08,1,860,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2006-08-08T11:54:00,,6.03,19.72,8.064,1,860,5
SO-E0017473,SHEPPEY-SHELLFISH WATER,2009-12-11T11:59:00,,8.92,8.599,8.06,1,860,5
AN-BE0630,SALCOTT CHANNEL OFF SUNKEN ISLE,2008-10-15T12:37:00,,8.17,13.25,8.047,1,860,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2007-10-15T13:37:00,,7.89,14.37,8.03,1,860,5
NW-88019983,SOLWAY EDEN AT NY155575 SHELLFISH MON.PT,2009-07-21T12:05:00,,7.28,17.01,8.02,1,860,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2009-12-08T11:34:00,,8.4,7.501,7.98,1,860,5
TH-PTTR0026,THAMES AT NO.2 SEA REACH ( 77.6KMS BELOW,2009-10-21T10:10:00,,8.28,13.22,7.97,1,860,5
AN-BE0770,TOLLESBURY N CHANNEL OFF GT.COB ISLE,2009-04-15T12:29:00,,8.53,12.4,7.95,1,860,5
SO-G0003681,CALSHOT/STANSWOOD-SFW,2013-01-10T10:32:00,,8.88,8.77,7.93,1,860,5
AN-BE15,GOLDHANGER CREEK,2009-07-07T14:33:00,,7.05,21.33,7.93,1,860,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2009-07-07T14:13:00,48850,,21.23,7.93,1,860,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2009-07-01T14:01:00,,6.28,21.46,7.7,1,860,5
NW-88019977,NORTH WIRRAL WEST SHELLFISH @ SJ230 910,2010-05-13T12:12:00,,11.2,10.899,8.8,1,856,5
SO-Y0017475,NEWTOWN BANK-SHELLFISH WATER,2010-02-16T14:11:00,,9.67,4.736,8.15,1,856,5
NW-88019978,NORTH WIRRAL EAST SHELLFISH @ SJ290 945,2010-02-17T13:56:00,,10.5,4.101,8.05,1,856,5
AN-RE08,R.ROACH EAST END PAGLESHAM,2005-06-21T12:52:00,,7.73,20.4,8.31,1,856,5
AN-BE0770,TOLLESBURY N CHANNEL OFF GT.COB ISLE,2010-03-16T14:24:00,,11.7,5.658,8.27,1,856,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2005-10-05T14:45:00,,7.98,14.2,8.24,1,856,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2008-04-03T11:47:00,,9.86,8.05,8.21,1,856,5
SO-G0003751,PENNINGTON-SHELLFISH WATER,2008-02-07T11:36:00,,9,8.4145,8.2,1,856,5
SO-Y0017475,NEWTOWN BANK-SHELLFISH WATER,2008-02-07T13:32:00,,8.98,8.0561,8.2,1,856,5
AN-BE600213,STROOD CHANNEL OPPOSITE SLIP,2006-04-27T12:32:00,,9.86,11.81,8.19,1,856,5
AN-RE08,R.ROACH EAST END PAGLESHAM,2005-04-11T12:20:00,,10.3,9.12,8.16,1,856,5
AN-BE0770,TOLLESBURY N CHANNEL OFF GT.COB ISLE,2007-05-16T11:59:00,,8.5,13.44,8.157,1,856,5
AN-BE0630,SALCOTT CHANNEL OFF SUNKEN ISLE,2010-05-06T14:44:00,,9.5,11.966,8.14,1,856,5
SO-G0003751,PENNINGTON-SHELLFISH WATER,2010-02-16T12:18:00,,9.67,5.272,8.14,1,856,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2011-01-19T11:14:00,,9.96,4.96,8.14,1,856,5
NW-27921,DEE EAST - SHELLFISH WATERS SITE,2008-04-02T11:57:00,,10.37,7.863,8.13,1,856,5
SO-G0003751,PENNINGTON-SHELLFISH WATER,2009-12-08T12:51:00,,8.87,10.333,8.12,1,856,5
AN-RE600184,MAPLIN SAND 2 MILE W BLACKTAIL SPIT BUOY,2009-12-04T14:40:00,,9.73,7.1,8.1,1,856,5
AN-RE08,R.ROACH EAST END PAGLESHAM,2010-05-05T15:54:00,,8.06,11.742,8.1,1,856,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2008-01-28T14:09:00,,9.59,6.27,8.05,1,856,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2008-10-15T10:22:00,,7.75,13.7,8.028,1,856,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2009-05-21T14:01:00,47280,,15.69,7.98,1,856,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2009-01-27T14:46:00,,10.3,3.99,7.97,1,856,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2009-09-22T13:03:00,50390,,16.31,7.95,1,856,5
AN-CE09,R.CROUCH NORTH FAMBRIDGE,2009-12-08T11:09:00,,8.57,7.331,7.85,1,856,5
AN-BE600213,STROOD CHANNEL OPPOSITE SLIP,2005-07-25T12:32:00,,9.1,19.1,8.36,1,855,5
AN-BE15,GOLDHANGER CREEK,2010-03-16T15:04:00,,11.9,5.792,8.33,1,855,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2005-10-17T11:55:00,,8.11,15.4,8.33,1,855,5
AN-BE11,R.BLACKWATER SOUTH EAST OF TOLLESBURY,2005-05-11T12:11:00,,10.4,12.47,8.31,1,855,5
NW-88000084,MISC SURFACE WATER DISCH IN DISTRICT 7,2010-03-16T14:00:00,,12,5.633,8.28,1,850,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2004-11-25T13:05:00,,9.67,8,8.22,1,850,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2004-11-03T15:04:00,,10.7,11.5,8.21,1,850,5
AN-BE11,R.BLACKWATER SOUTH EAST OF TOLLESBURY,2004-11-03T13:27:00,,8.56,11.59,8.2,1,850,5
AN-BE0770,TOLLESBURY N CHANNEL OFF GT.COB ISLE,2006-04-27T12:46:00,,10.1,11.58,8.2,1,850,5
AN-BE600213,STROOD CHANNEL OPPOSITE SLIP,2004-11-03T12:52:00,,8.87,11.48,8.19,1,850,5
NW-88004104,LUNE ESTUARY AT BROADFLEET,2010-02-04T13:50:00,,10.3,4.116,8.18,1,850,5
AN-BE15,GOLDHANGER CREEK,2006-04-27T12:59:00,,9.73,12.1,8.18,1,850,5
AN-BE0630,SALCOTT CHANNEL OFF SUNKEN ISLE,2006-04-27T12:36:00,,9.74,11.74,8.14,1,850,5
SO-Y0004385,MEDINA-SHELLFISH WATER,2010-02-17T09:32:00,,9.72,4.679,8.13,1,850,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2010-07-09T10:17:00,,7.46,20.925,8.1,1,850,5
NW-88019977,NORTH WIRRAL WEST SHELLFISH @ SJ230 910,2010-02-17T13:41:00,,10.6,3.741,8.07,1,850,5
SO-Y0017475,NEWTOWN BANK-SHELLFISH WATER,2009-12-08T11:03:00,,8.8,9.79,8.06,1,850,5
AN-RE600184,MAPLIN SAND 2 MILE W BLACKTAIL SPIT BUOY,2006-04-27T11:20:00,,9.88,9.85,8,1,850,5
AN-BE0630,SALCOTT CHANNEL OFF SUNKEN ISLE,2009-10-22T12:34:00,,7.9,11.3,8,1,850,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2009-12-04T13:09:00,45738,,7.03,8,1,850,5
AN-RE08,R.ROACH EAST END PAGLESHAM,2007-11-12T11:21:00,,9.1,8.58,7.96,1,850,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2007-11-12T11:36:00,,9.06,8.78,7.96,1,850,5
NW-27921,DEE EAST - SHELLFISH WATERS SITE,2007-04-03T18:24:00,,8.83,9.39,7.96,1,850,5
AN-BE600213,STROOD CHANNEL OPPOSITE SLIP,2009-07-07T13:08:00,,7.39,20.66,7.95,1,850,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2009-04-15T13:39:00,,8.53,12.23,7.94,1,850,5
AN-BE600213,STROOD CHANNEL OPPOSITE SLIP,2009-04-15T11:56:00,,8.27,12.39,7.94,1,850,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2009-04-15T12:57:00,48300,,12.77,7.93,1,850,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2006-09-12T13:44:00,,6.48,19.1,7.9,1,850,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2006-08-08T11:38:00,,6.22,19.54,7.9,1,850,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2005-12-06T11:42:00,,9.92,5.37,7.89,1,850,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2007-12-12T12:46:00,49500,,5.99,7.85,1,850,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2005-07-25T13:48:00,,8.67,18.76,8.22,1,847,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2005-05-11T13:20:00,,10.9,11.73,8.4,1,846,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2004-11-25T12:45:00,,9.15,8.38,8.24,1,845,5
AN-BE11,R.BLACKWATER SOUTH EAST OF TOLLESBURY,2010-03-16T14:45:00,,11.4,4.974,8.23,1,845,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2008-04-09T13:11:00,,10.1,7.93,8.21,1,845,5
AN-BE11,R.BLACKWATER SOUTH EAST OF TOLLESBURY,2006-04-27T13:31:00,,9.71,11.5,8.2,1,845,5
NW-88004079,LUNE ESTUARY PLOVER SCAR,2010-02-04T13:55:00,,10.3,4.162,8.19,1,840,5
SO-E0017473,SHEPPEY-SHELLFISH WATER,2010-05-27T14:21:00,,7.94,14.317,8.19,1,840,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2010-03-16T11:33:00,,11,5.512,8.16,1,840,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2010-05-06T11:37:00,,9.33,11.124,8.15,1,840,5
NW-88003935,WYRE NUMBER 16 BUOY,2010-02-05T14:25:00,,10.7,4.823,8.14,1,840,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2010-05-05T15:26:00,,8.08,11.542,8.14,1,840,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2006-11-08T13:34:00,,7.96,9.71,8.12,1,840,5
AN-BE600213,STROOD CHANNEL OPPOSITE SLIP,2008-07-24T13:02:00,,7.56,20.64,8.12,1,840,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2006-01-30T14:30:00,,10.5,3.24,8.107,1,840,5
NW-88003594,RIBBLE ESTUARY AT 10TH MILE POST,2009-07-21T09:49:00,,7.82,17.113,8.1,1,840,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2007-03-30T11:40:00,,9.67,8.66,8.1,1,840,5
AN-RE600184,MAPLIN SAND 2 MILE W BLACKTAIL SPIT BUOY,2007-04-19T12:12:00,,8.3,11.9,8.096,1,840,5
SO-G0003696,LYMINGTON-SHELLFISH WATER,2013-01-10T11:30:00,,8.81,8.88,8.09,1,840,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2010-07-30T10:28:00,,8.09,20.698,8.08,1,840,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2010-07-08T13:34:00,,7.08,20.53,8.07,1,840,5
AN-RE08,R.ROACH EAST END PAGLESHAM,2007-03-30T11:23:00,,9.8,8.36,8.07,1,840,5
AN-RE600184,MAPLIN SAND 2 MILE W BLACKTAIL SPIT BUOY,2006-09-12T12:36:00,,6.56,18.7,8.066,1,840,5
NW-88019983,SOLWAY EDEN AT NY155575 SHELLFISH MON.PT,2009-11-16T11:14:00,,9.86,8.57,8.04,1,840,5
NW-88003594,RIBBLE ESTUARY AT 10TH MILE POST,2008-08-19T12:30:00,,7.84,16.52,8.04,1,838,5
SO-G0003677,APPROACHES SOTON WATER-SFW,2013-01-11T09:45:00,,8.94,8.75,8.03,1,838,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2008-10-15T10:35:00,,8.42,13.39,8.03,1,838,5
SW-81914861,SWANPOOL BEACH (28700),2003-07-22T11:30:00,,7.5,15.9,8.024,1,838,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2008-10-15T11:40:00,,8.19,14.47,8,1,838,5
AN-RE20,R.ROACH SUTTON ROAD BRIDGE,2008-09-15T13:35:00,,7.49,16.46,8,1,838,5
AN-RE08,R.ROACH EAST END PAGLESHAM,2007-10-10T10:45:00,,7.42,13.89,7.95,1,838,5
NW-88019983,SOLWAY EDEN AT NY155575 SHELLFISH MON.PT,2008-10-14T12:08:00,,8.89,13.14,7.9,1,838,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2009-11-04T11:50:00,49940,,11.28,7.84,1,838,5
NW-88019983,SOLWAY EDEN AT NY155575 SHELLFISH MON.PT,2009-01-26T12:21:00,,11.6,3.96,7.69,1,838,5
NW-88019982,SILLOTH SHELLFISH MON.PNT. AT NY097525,2008-10-14T11:46:00,,8.86,12.76,7.67,1,838,5
NW-88019983,SOLWAY EDEN AT NY155575 SHELLFISH MON.PT,2010-02-02T13:43:00,,10.3,3.705,7.49,1,838,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2008-01-28T14:18:00,,9.61,6.58,8.07,1,838,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2007-03-07T12:12:00,43900,,8.28,7.97,1,838,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2009-07-07T12:52:00,,7.5,20.44,7.94,1,838,5
AN-CE09,R.CROUCH NORTH FAMBRIDGE,2010-03-15T14:56:00,,15.1,6.103,8.4,1,836,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2007-07-31T11:01:00,,7.7,18.17,8.31,1,836,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2005-10-05T14:30:00,,8.53,14.3,8.27,1,836,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2004-11-30T13:40:00,,13.8,2.77,8.23,1,836,5
AN-RE08,R.ROACH EAST END PAGLESHAM,2005-10-17T12:05:00,,8.21,15.38,8.23,1,836,5
AN-RE08,R.ROACH EAST END PAGLESHAM,2004-11-30T13:20:00,,11.4,7.61,8.22,1,836,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2005-04-11T12:35:00,,10.6,9.01,8.22,1,830,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2008-04-09T13:17:00,,9.55,7.85,8.22,1,830,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2006-04-27T15:01:00,,9.47,12.05,8.2,1,830,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2004-11-03T12:30:00,,8.85,11.79,8.2,1,830,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2007-06-18T11:37:00,,6.62,18.94,8.17,1,830,5
NW-88003935,WYRE NUMBER 16 BUOY,2009-11-16T10:00:00,,9.11,9.786,8.16,1,830,5
AN-BE0630,SALCOTT CHANNEL OFF SUNKEN ISLE,2007-05-16T11:46:00,,8.54,13.42,8.157,1,830,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2005-10-05T11:30:00,,8.38,14.74,8.15,1,830,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2011-01-19T10:16:00,,10.1,4.45,8.14,1,830,5
NW-88004079,LUNE ESTUARY PLOVER SCAR,2009-11-17T10:21:00,,9.4,9.441,8.14,1,830,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2007-05-16T13:32:00,,8.51,13.56,8.14,1,830,5
SO-E0017473,SHEPPEY-SHELLFISH WATER,2010-02-18T14:16:00,,10.6,2.728,8.13,1,830,5
NW-88004104,LUNE ESTUARY AT BROADFLEET,2009-11-17T10:15:00,,9.36,9.563,8.13,1,830,5
NW-27921,DEE EAST - SHELLFISH WATERS SITE,2010-01-20T11:37:00,,10.7,3.78,8.11,1,830,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2006-01-30T12:15:00,,10.4,3.27,8.106,1,830,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2009-10-22T10:34:00,,8.13,11.31,8.1,1,830,5
AN-BE17,R.BLACKWATER OFF MARCONI S/C STANSGATE,2009-10-22T11:42:00,49451,,10.81,8.1,1,830,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2010-07-09T09:56:00,,6.96,20.942,8.092,1,830,5
AN-RE600184,MAPLIN SAND 2 MILE W BLACKTAIL SPIT BUOY,2010-03-18T15:12:00,,11,5.214,8.09,1,830,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2006-11-08T13:25:00,,8.02,9.62,8.073,1,830,5
AN-WASHSFW,THE WASH SHELLFISH WATERS (W/W 19)8 NMMP,2007-03-22T11:15:00,,9.95,6.25,8.05,1,830,5
NW-88019977,NORTH WIRRAL WEST SHELLFISH @ SJ230 910,2009-11-06T12:45:00,,8.44,10.595,8.03,1,830,5
SO-E0001305,SWALECLIFFE-SHELLFISH WATER,2010-08-31T14:33:00,,7.55,16.297,8.03,1,830,5
AN-BE600213,STROOD CHANNEL OPPOSITE SLIP,2009-10-22T12:59:00,,8.23,11.75,8,1,830,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2009-10-22T14:28:00,,8.16,11.44,8,1,830,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2006-11-08T11:06:00,,8.29,11.32,8,1,830,5
NW-88019982,SILLOTH SHELLFISH MON.PNT. AT NY097525,2010-02-02T13:26:00,,10.5,3.465,7.99,1,830,5
AN-NE608211,DENGIE 0.5KM SOUTH OF BEACH HEAD BOUY,2009-01-27T13:35:00,,10.3,3.98,7.98,1,830,5
AN-BE11,R.BLACKWATER SOUTH EAST OF TOLLESBURY,2009-01-27T12:11:00,,10.2,3.95,7.97,1,829,5
AN-NE0530,PYEFLEET CHANNEL W OF PEWIT ISLAND,2009-01-27T14:01:00,,10.3,4.16,7.95,1,829,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2008-12-03T11:29:00,,9.77,5.1,7.95,1,829,5
SW-50280344,HAMPSHIRE AVON AT AVON CAUSEWAY,2009-04-15T11:20:00,,8.53,13.16,7.95,1,829,5
SW-81919999,MISCELLANEOUS HELFORD AND CARRICK ROADS,2006-03-14T12:25:00,,8.93,3.67,7.9,1,829,5
AN-RE03,R.ROACH MONKTON QUAY FOULNESS,2006-03-14T12:36:00,,8.83,3.57,7.9,1,829,5
AN-NE04,R.COLNE OFF BATEMANS TOWER,2009-10-22T13:31:00,,8.1,11.54,7.9,1,829,5
NW-88019982,SILLOTH SHELLFISH MON.PNT. AT NY097525,2009-01-26T12:35:00,,11.4,4.2,7.82,1,829,5
SW-81010811,SILVERBRIDGE LAKE @ KITLEY LAKE OUTFLOW,2007-12-12T11:00:00,,9.74,7.88,7.58,1,829,5
SW-60110129,HENLEAZE LAKE (36050),2015-05-08T12:57:00,538,,14.1,8.05,1,829,5
